lon_25_75,lat_25_75,ID_HDC_G0,GCPNT_LAT,GCPNT_LON,XC_NM_LST,XC_ISO_LST,GRGN_L1,GRGN_L2,UC_NM_MN,UC_NM_LST,P15,urban_center_count
121.25,16.75,12806,16.50101835,121.1659563,Philippines,PHL,Asia,South-Eastern Asia,Bayombong,Bayombong; Solano,65934.03369,1
121.25,41.75,11133,41.52989439,121.2383096,China,CHN,Asia,Eastern Asia,Yixian,Yixian,73203.43737999999,1
121.75,36.75,11865,36.90709537,121.5395652,China,CHN,Asia,Eastern Asia,Rushan,Rushan,164635.1525,1
122.25,6.75,12948,6.9268252320000006,122.0796731,Philippines,PHL,Asia,South-Eastern Asia,Zamboanga City,Zamboanga City,498586.5909,1
122.25,37.25,11896,37.20006712,122.0528488,China,CHN,Asia,Eastern Asia,Wendeng,Wendeng,224736.2985,2
122.25,37.25,11953,37.15503827,122.4380337,China,CHN,Asia,Eastern Asia,Rongcheng,Rongcheng,155488.1479,2
122.25,39.75,11516,39.6346595,121.99987659999998,China,CHN,Asia,Eastern Asia,Wafangdian,Wafangdian,279945.2876,1
122.25,41.25,11295,41.1277898,122.0714065,China,CHN,Asia,Eastern Asia,Panjin,Panjin; Xinglongtai,522320.5796,2
122.25,41.25,11286,41.20026976,122.0267736,China,CHN,Asia,Eastern Asia,Shuantaizi,Shuantaizi; Panshan,176354.58,2
122.75,0.75,12991,0.625182346,122.9885646,Indonesia,IDN,Asia,South-Eastern Asia,Limboto,Limboto,57163.44995,1
122.75,45.75,10688,45.61174646,122.8326905,China,CHN,Asia,Eastern Asia,Baicheng,Baicheng; Taobei,288896.1099,1
124.25,42.75,11325,42.53801909,124.05038190000002,China,CHN,Asia,Eastern Asia,Kaiyuan,Kaiyuan; Qinghe,239063.977,2
124.25,42.75,11299,42.77859912,124.0953827,China,CHN,Asia,Eastern Asia,Changtu,Changtu,71136.23315,2
124.75,8.25,13005,8.496738498,124.6666862,Philippines,PHL,Asia,South-Eastern Asia,Cagayan de Oro,Cagayan de Oro,735961.5875,1
124.75,45.25,10996,45.13835429,124.8268667,China,CHN,Asia,Eastern Asia,Songyuan,Songyuan; Qian Gorlos; Ningjiang,487549.7694,1
125.75,38.75,12200,38.50784424,125.7588231,North Korea,PRK,Asia,Eastern Asia,Sariwŏn,Sariwŏn,353197.8687,4
125.75,38.75,12112,38.92227324,125.5578788,North Korea,PRK,Asia,Eastern Asia,Kangson,Kangson,260531.0175,4
125.75,38.75,12151,38.74406285,125.63113490000002,North Korea,PRK,Asia,Eastern Asia,Songnim,Songnim,256210.9061,4
125.75,38.75,12123,38.83055407,125.5131301,North Korea,PRK,Asia,Eastern Asia,Taean,Taean,79206.64185,4
125.75,40.25,11986,40.11276829,125.9020517,North Korea,PRK,Asia,Eastern Asia,Unsan,Unsan,69973.24414,1
125.75,41.75,11726,41.72773602,125.9341578,China,CHN,Asia,Eastern Asia,Tonghua,Tonghua; 东昌区,313603.2437,2
125.75,41.75,11709,41.67684768,125.7624395,China,CHN,Asia,Eastern Asia,Tonghua,Tonghua,56491.40697999999,2
125.75,47.25,10778,47.18352767,125.9065482,China,CHN,Asia,Eastern Asia,明水县,明水县,75558.65698,1
126.75,46.75,11004,46.64110432,126.989836,China,CHN,Asia,Eastern Asia,Suihua,Suihua; 北林区,248076.6742,1
127.25,45.75,11210,45.7956086,127.4704492,China,CHN,Asia,Eastern Asia,Bin,Bin,56241.88982999999,1
129.25,35.25,12678,35.16895667,129.0163099,South Korea,KOR,Asia,Eastern Asia,Busan,Busan; Gimhae,3431209.05,3
