lon,lat,k1_thresh,k1_num_excedences,k2_thresh,k2_num_excedences,k3_thresh,k3_num_excedences,k4_thresh,k4_num_excedences,k5_thresh,k5_num_excedences,k6_thresh,k6_num_excedences
63.25,61.25,300.597198,185,298.338104,450,291.751617,3433,294.56723,1717,299.0548100000001,343,295.645599,1226
66.25,39.75,309.853333,185,308.265259,450,303.762939,3433,305.597992,1717,308.763794,343,306.352264,1226
66.75,29.25,307.104248,185,306.24292,450,302.754272,3433,304.264313,1717,306.516083,343,304.81839,1226
68.25,33.75,299.826111,185,298.72934,450,294.720276,3433,296.33139,1717,299.118744,343,297.016052,1226
68.75,35.75,303.330475,185,302.193115,450,298.112091,3433,299.811279,1717,302.566223,343,300.515594,1226
69.75,32.25,310.291534,185,309.077332,450,305.07431,3433,306.771637,1717,309.492523,343,307.3848270000001,1226
69.75,33.25,305.715118,185,304.366333,450,300.292755,3433,301.896484,1717,304.742554,343,302.5967100000001,1226
69.75,36.75,306.850769,185,305.634979,450,301.836761,3433,303.431122,1717,306.026337,343,303.997498,1226
70.25,28.25,315.346771,185,314.34729,450,311.042755,3433,312.4165950000001,1717,314.644684,343,312.9399410000001,1226
70.25,34.75,307.53894,185,306.431854,450,302.805939,3433,304.329529,1717,306.814758,343,304.964935,1226
70.75,29.75,316.36499,185,315.370667,450,311.832336,3433,313.311218,1717,315.697937,343,313.886383,1226
70.75,40.25,307.823944,185,306.425446,450,302.591736,3433,304.245911,1717,306.7948,343,304.874725,1226
72.75,23.75,312.840088,185,312.147308,450,309.309662,3433,310.493286,1717,312.367249,343,311.017609,1226
72.75,32.75,313.7329410000001,185,312.72937,450,308.947174,3433,310.6348270000001,1717,313.038544,343,311.270569,1226
73.25,34.25,308.411041,185,307.194458,450,303.355591,3433,305.136414,1717,307.602509,343,305.766052,1226
73.75,4.25,304.684723,185,304.379028,450,303.378296,3433,303.789886,1717,304.499603,343,303.963593,1226
74.25,14.25,307.214935,185,306.74527,450,305.121399,3433,305.8586430000001,1717,306.879791,343,306.139557,1226
74.25,17.25,307.375702,185,306.64798,450,304.205261,3433,305.212036,1717,306.866913,343,305.634705,1226
74.25,20.75,309.968506,185,309.092529,450,306.04184,3433,307.237183,1717,309.3539120000001,343,307.770477,1226
74.75,18.75,310.403839,185,309.389221,450,306.108948,3433,307.455902,1717,309.784424,343,307.988678,1226
74.75,26.75,314.072937,185,312.963409,450,309.5225220000001,3433,310.958466,1717,313.322388,343,311.504272,1226
75.25,13.75,306.178497,185,305.57193,450,303.0786740000001,3433,304.21991,1717,305.77087400000005,343,304.649902,1226
75.25,19.25,311.803436,185,310.78418,450,307.663849,3433,308.947998,1717,311.124054,343,309.4761660000001,1226
